file,cluster,psnr,ssim,lpips,composite
000623.npy,5,22.207422578662847,0.5184935252580791,0.22115996479988098,0.5926094663452404
000633.npy,5,24.923228931338027,0.6023796586649716,0.20099306106567383,0.6876450643406109
001067.npy,5,23.452951487042437,0.586701108715251,0.20494042336940765,0.6484302614940018
001080.npy,5,21.295533174956468,0.36283221251524633,0.21263939142227173,0.5232983442522463
001203.npy,5,22.992305477361793,0.6201162659839093,0.15494957566261292,0.6659956851595831
001399.npy,5,22.653202351172503,0.477951888460723,0.23221533000469208,0.5853166828447325
001685.npy,5,22.30728314114362,0.6967809911432751,0.1725659817457199,0.6704557396023766
001783.npy,5,25.78489246993982,0.628348071919444,0.1491081714630127,0.7327442439285842
001844.npy,5,23.900590318568177,0.5093717879248932,0.19790302217006683,0.6349471512197904
001864.npy,5,28.89771928375599,0.663136924932003,0.14981184899806976,0.8132798982836664
001895.npy,5,28.58543128640255,0.7969337906843769,0.1251877248287201,0.8591471616497199
001993.npy,5,30.607098892481215,0.6657713879609108,0.12362933903932571,0.8473806829738617
001995.npy,5,24.64453691924089,0.7918265053542256,0.10587221384048462,0.7763078064877111
002017.npy,5,25.183891634345635,0.6790980647794902,0.22737577557563782,0.710216132720076
002031.npy,5,27.692273585097404,0.5565836396703199,0.25143125653266907,0.7171013184924925
002102.npy,5,29.853319602079367,0.6546507373974323,0.20290417969226837,0.8139892881701516
002127.npy,5,27.11146048250115,0.6616085362153705,0.17269201576709747,0.7654490730938943
002129.npy,5,29.16915723460145,0.7530400969166756,0.17510278522968292,0.8408492646645853
002256.npy,5,25.72471933651059,0.38648467117719354,0.1822626143693924,0.6397344486361689
002323.npy,5,25.669633125592046,0.8603135141778886,0.10988228023052216,0.8205800363289453
002333.npy,5,25.408811962875305,0.36748415816017893,0.18534991145133972,0.6253516814112865
002436.npy,5,22.43182461427388,0.4784751905821692,0.24975663423538208,0.5747245102105707
002539.npy,5,21.67263185896653,0.6239390977767258,0.17241378128528595,0.6321224801408472
002642.npy,5,28.841354231754384,0.5923016049423814,0.18404972553253174,0.7770029427311583
002674.npy,5,28.008718331165298,0.5278794105056525,0.14454767107963562,0.7501932093901232
002734.npy,5,26.306984598779586,0.7926243138396752,0.15537334978580475,0.7970166457686143
002781.npy,5,26.867553559776105,0.7658145847842693,0.15565964579582214,0.800441725435618
002936.npy,5,30.110793680005642,0.8423009732928053,0.11942105740308762,0.9076266386299059
003021.npy,5,21.216585938946842,0.7833953300169604,0.1404765099287033,0.6857859608949044
003041.npy,5,28.95668303969841,0.6548365424016714,0.20774194598197937,0.7925133774665286
003190.npy,5,32.85326974505853,0.8677859305843413,0.15039300918579102,0.9057976404661833
003209.npy,5,28.401292573020058,0.8214446282456368,0.13000473380088806,0.8616197997709175
003325.npy,5,33.18740638804642,0.8550793224933148,0.07482007890939713,0.9267530811946392
003388.npy,5,32.9643845662249,0.8158350955879986,0.08197103440761566,0.9112880203934608
003458.npy,5,26.68982710932275,0.8127240154380798,0.15950866043567657,0.8108457207635288
003535.npy,5,21.537857784007073,0.45536194373817185,0.21582181751728058,0.5584657706071209
003572.npy,5,24.094891148492685,0.6982874755341317,0.18452657759189606,0.7066956581694714
003644.npy,5,21.681677339582365,0.618461556336455,0.16095072031021118,0.6343186639994671
003674.npy,5,24.515801119872425,0.7509592266997416,0.16103896498680115,0.7414356676792562
003720.npy,5,26.406664312498137,0.7528407836492285,0.11737863719463348,0.7986354779848236
003730.npy,5,26.04713157880097,0.7225430339858765,0.24697411060333252,0.7373481206564251
003792.npy,5,31.012630719092886,0.6924899950494282,0.0733739584684372,0.8730386788603303
003949.npy,5,25.300490670303294,0.4849427521594083,0.15877115726470947,0.6709569909716394
004087.npy,5,24.301678071340103,0.5830902997968371,0.1663457453250885,0.6789521419648074
004126.npy,5,26.10814980675611,0.7453968480563405,0.13022993505001068,0.785236744485579
004127.npy,5,24.769970291124118,0.7199064600255266,0.1310708224773407,0.7467223300965978
004449.npy,5,29.991650635357825,0.8104449001664762,0.16112080216407776,0.8829224912309733
004489.npy,5,27.437927434742274,0.791617602867946,0.12870007753372192,0.8307042292167919
004663.npy,5,27.633842957776057,0.735471232754752,0.17094409465789795,0.8022611117606414
004734.npy,5,23.902951307076332,0.7271594306662381,0.16706353425979614,0.717875327848288
004749.npy,5,24.271709183892746,0.7746735793508589,0.14701928198337555,0.748589414320111
004753.npy,5,31.307094954669516,0.789489912737906,0.08098135888576508,0.9028361846173802
004766.npy,5,31.613670779524114,0.8787516098624766,0.11131224036216736,0.9224797898334364
000058.npy,6,19.63900931732236,0.48910878665692287,0.24450159072875977,0.5179581612498845
000095.npy,6,24.255662018709092,0.2933470269623343,0.2509511411190033,0.5531466734746457
000113.npy,6,21.46388163841287,0.5921345125174448,0.21733716130256653,0.6019075979252455
000139.npy,6,21.29962105980503,0.4312769312234001,0.23369470238685608,0.5391856553856265
000152.npy,6,21.07895233491186,0.6020587512074683,0.22107531130313873,0.5954156429661512
000285.npy,6,20.12586199230835,0.44525976522163674,0.19460806250572205,0.5307919451788238
000358.npy,6,22.649359997783783,0.5740550001805714,0.18301503360271454,0.633665766587814
000368.npy,6,20.574079502692296,0.3414939192120358,0.2321397066116333,0.49365317092662964
000377.npy,6,23.285945187180708,0.6772930602441458,0.23563984036445618,0.6646831885639122
000400.npy,6,19.283160453678395,0.2505190561943861,0.21196971833705902,0.44136445603418445
000455.npy,6,25.16822170170753,0.4005491178332679,0.26028573513031006,0.6060482764944866
000473.npy,6,20.49402271093267,0.34385815994688673,0.22427579760551453,0.4952835143567389
000483.npy,6,22.673823441379497,0.39983780291467114,0.21528595685958862,0.5653800251601274
000501.npy,6,21.667147674994915,0.6071938053678828,0.1653282195329666,0.6287806991670812
000528.npy,6,24.24417869354158,0.5372159660681598,0.2477872371673584,0.63523576949008
000533.npy,6,25.819875369098668,0.48127302264922855,0.1365877240896225,0.6886701077220613
000624.npy,6,23.714525796993932,0.4618467757435658,0.17040574550628662,0.6241364722345137
000646.npy,6,22.380766165883227,0.25961942723342546,0.15925341844558716,0.5308056955044622
000666.npy,6,20.44911502165398,0.41345856302534023,0.20363473892211914,0.524366052960051
000675.npy,6,22.79640628778186,0.4675563146363832,0.24555519223213196,0.5805871805299028
000688.npy,6,18.946385963969167,0.3326476376123068,0.329520583152771,0.42207315068582674
000751.npy,6,21.962574757094334,0.5538388275900884,0.22944678366184235,0.5961878981337339
000839.npy,6,22.29693183943073,0.32034667866154665,0.21263140439987183,0.5313924656301301
000842.npy,6,23.626892659774224,0.3461657419984322,0.2340015470981598,0.5624301240728513
001005.npy,6,24.06574755431727,0.43387900878422847,0.19667503237724304,0.6138623822316012
001012.npy,6,21.74308582397063,0.39086577267153305,0.2072194218635559,0.5443951352464509
001094.npy,6,20.97744532645555,0.4227852872607029,0.2584131360054016,0.5209561687841127
001135.npy,6,21.31190276733678,0.3925153497385242,0.2347729504108429,0.5261786390500444
001139.npy,6,20.33389039212983,0.36590158699009173,0.2486366629600525,0.49095253894623153
001184.npy,6,22.26960264915847,0.5821175560946362,0.2122657746076584,0.6181639860325141
001189.npy,6,19.970722539101562,0.38600806924174497,0.25052082538604736,0.4889562488208228
001217.npy,6,21.040063127880153,0.639712607104979,0.195331409573555,0.6156840242411447
001296.npy,6,20.699064862301277,0.4018715515457839,0.247765451669693,0.5113479191209476
001297.npy,6,20.83318851851898,0.43637239725562466,0.2129170000553131,0.5374448772560811
001329.npy,6,21.34869244081721,0.6077833752705976,0.22669774293899536,0.6014439316842498
001379.npy,6,22.327316858434436,0.5788805065196976,0.21693956851959229,0.616809576187467
001444.npy,6,20.107976718510777,0.4286873932196107,0.23011697828769684,0.5130340653886551
001482.npy,6,19.89307191102401,0.4537775897446312,0.23222383856773376,0.5159195150817215
001488.npy,6,22.502670032296294,0.5653058605301944,0.23465074598789215,0.6102777055651295
001570.npy,6,21.03281625718627,0.3968056060370728,0.2311772257089615,0.522605376935732
001634.npy,6,22.03966349311028,0.5992207871932537,0.20645877718925476,0.620690969848228
