file,spearman_r,spearman_p
001923.npy,0.1750163022938797,0.0
001947.npy,0.18073409822213474,0.0
001949.npy,0.204158135741227,0.0
002200.npy,0.17638271820055323,0.0
002207.npy,0.15045195705321443,0.0
002386.npy,0.293157389397602,0.0
002422.npy,0.19027267398295333,0.0
002537.npy,0.1841285626956681,0.0
002579.npy,0.1510968435254364,0.0
002705.npy,0.25863917519749896,0.0
002737.npy,0.3813027280391785,0.0
002870.npy,0.33504370957330215,0.0
002880.npy,0.26691385910717225,0.0
002908.npy,0.37286247250142984,0.0
002948.npy,0.34268872833097247,0.0
003062.npy,0.32315645102331086,0.0
003137.npy,0.2955456975086002,0.0
003249.npy,0.4095025702320259,0.0
003251.npy,0.46786326338997103,0.0
003260.npy,0.14950709817478042,0.0
003380.npy,0.30132950476239095,0.0
003433.npy,0.15626829442595264,0.0
003807.npy,0.1691958148981477,0.0
003808.npy,0.17754556835566537,0.0
004154.npy,0.17899481351677174,0.0
004179.npy,0.2333173639548324,0.0
004196.npy,0.2277539077302261,0.0
004324.npy,0.21654463362743528,0.0
004421.npy,0.3207905663445,0.0
004546.npy,0.2853727054463683,0.0
004615.npy,0.22771036151832066,0.0
004616.npy,0.2786215997215206,0.0
004644.npy,0.37556201232715547,0.0
004698.npy,0.18253543712457335,0.0
000080.npy,0.307967769639838,0.0
000084.npy,0.11739976632363526,8.398807092991789e-200
000160.npy,0.12871430074049867,4.4303050828203534e-240
000297.npy,0.26243023673976607,0.0
000697.npy,0.2199526649040459,0.0
000863.npy,0.22001715295333427,0.0
000899.npy,0.08933296137107341,3.321357246446973e-116
000927.npy,0.18086336134390293,0.0
000946.npy,0.2160459043492783,0.0
001546.npy,0.22622825489386666,0.0
001547.npy,0.29494656337216396,0.0
001596.npy,0.15979740768582412,0.0
001839.npy,0.10293389454140663,7.909126517598014e-154
002471.npy,0.17417017288970515,0.0
002650.npy,0.16038303318119387,0.0
002785.npy,0.5672536345724782,0.0
002822.npy,0.33157047179893073,0.0
002847.npy,0.34885847461288555,0.0
002863.npy,0.28044315310496426,0.0
002922.npy,0.2772697354882344,0.0
003012.npy,0.2764972712519385,0.0
003043.npy,0.40002731312139245,0.0
003044.npy,0.4387694609539953,0.0
003364.npy,0.44610000372337977,0.0
003365.npy,0.4023498993522063,0.0
003373.npy,0.2290116540524789,0.0
003377.npy,0.261036114113603,0.0
003423.npy,0.1828736454674132,0.0
003444.npy,0.19716889792397443,0.0
003480.npy,0.271804342905563,0.0
